,context,response,label,explanation
0,"A: 이런 환절기 날씨 때문에 기분이 참 뒤숭숭하네요.
B: 왜요? 여름과 가을 사이라서요?
A: 네, 그렇습니다. 아침은 선선해서 긴팔을 입고 나가면 낮에는 더워서 땀이 나고, 저녁에는 다시 선선해져서 추워지니까요.",B: 그렇게 옷을 많이 갖고 다녀야겠네요.,Non-Sarcasm,이 대화는 상대방의 기분에 대한 진지한 공감과 날씨 변화에 대한 실제 경험을 나누고 있어 비꼬지 않고 진정한 의사소통이 이루어졌다. B의 대답도 A의 감정을 인정하면서 실질적인 조언을 하고 있어 진지한 대화로 해석된다.
1,"A: 휴가 잘 보내?
B: 응. 근데 날씨가 너무 안 좋아서 별로야.
A: 그런데, 날씨가 휴가를 망치는 건 아니잖아. 여행의 진짜 즐거움은 그게 아니라고.
B: 그래도 좋은 날씨에 해변에서 놀다가 맛있는 음식도 먹고 싶었는데, 이 비 때문에 그런 건 다 못했어.","A: 우와, 비를 좋아하는 사람이라면 정말 좋았겠는걸.",Non-Sarcasm,"A의 대답은 B의 감정을 이해하지 않고 비꼬는 것이 아니라, 실제로 B의 입장을 감안한 진지한 반응을 보여준다. A는 B의 기대와 현실을 비교하며 대화를 이어가고 있기 때문에 비꼬지 않고 적극적으로 소통하고 있음을 알 수 있다."
2,"B: 미국 여행 잘 다녀오셨나요?
A: 네, 잘 다녀왔습니다. 특히 놀이공원의 롤러코스터가 정말 재미있었어요.
B: 그렇군요. 그런데 롤러코스터는 무서운 걸로 알고 있는데요?
A: 처음에는 조금 무서웠지만, 익숙해지니까 정말 재미있더라고요.
B: 그리고 미국에서는 어떤 음식을 즐기셨나요?
A: 저는 주로 패스트푸드를 많이 먹었습니다. 햄버거나 피자 같은 거요.","B: 오, 정말 건강에 좋은 음식들을 많이 즐기셨군요.",Sarcasm,"패스트푸드는 건강에 좋지 않다는 사실을 알고 있음에도 불구하고, 상대방이 패스트푸드를 즐겼다는 것을 건강에 좋은 음식을 즐겼다고 비꼬아 말한다."
3,"B: 이번 주도 역시나 많이 바쁘시군요. 오늘도 야근하실 계획이신가요?
A: 그렇습니다. 제가 맡은 프로젝트가 조금 복잡해서 이번 주 내내 야근할 것 같습니다.
B: 그렇군요. 퇴근 시간이 언제쯤 되실 것 같으세요?
A: 아마 밤 12시가 넘어야 끝날 것 같습니다.","B: 아, 그러니까 일찍 퇴근하시는군요.",Sarcasm,"상대방이 매일 밤 12시가 넘어서야 퇴근한다는 것을 듣고, 이를 마치 일찍 퇴근하는 것처럼 비꼬아 말한다."
4,"B: 그때 생각나? 고등학교 때 영업당한 거.
A: 아, 맞아. 그런 기억이 날 들면 진짜 웃긴다니까.
B: 아니 어떻게 통계 학원을 영업하면서 ""통계는 어렵지 않아요""라고 말해?
A: 아니 그게 말이야, 그건 뭐 그냥 영업사원이 잘못된 표현을 썼을 뿐이지.","B: 아, 너무 쉬워서 심심했겠다.",Sarcasm,A가 B에게 복잡하고 어려운 통계를 쉽다고 하는 영업사원의 말을 비꼬아 말한다.
5,"B: 이번 주말에 식사 어디서 하실 계획이세요?
A: 아직 정해진 건 없지만, 해산물이나 고기를 생각하고 있습니다.
B: 그럼 회는 어떠세요? 해산물 중에서도 많은 사람들이 좋아하잖아요.
A: 아, 저는 해산물은 좋아하지만 회는 별로 좋아하지 않습니다.","B: 해산물을 좋아하는데 회는 별로라니, 그것도 참 특이하신 선호도네요.",Sarcasm,"회는 해산물인데, 그것을 별로 좋아하지 않는다고 했으므로, 그 부분을 긍정적으로 비꼬아 말한다."
6,"A: 저녁에는 무엇을 드실 예정이세요?
B: 어제 고구마를 너무 많이 먹어서, 오늘은 좀 가볍게 해야겠어요. 아마도 아이들이 남긴 밥을 먹을 것 같아요.
A: 그럼 점심에는 어떤 메뉴를 추천드릴까요?
B: 아침에 머핀과 우유를 마셔서 이미 배가 차 있어요.","A: 아, 그러니까 완전히 한 끼를 대신하셨군요.",Sarcasm,"B가 아침에 머핀과 우유를 마셔서 배가 차 있다고 했을 때, 그것이 아침식사로 충분하지 않다는 것을 암시하면서 농담한다."
7,"B: 스위치 게임을 주로 어떤 걸 하시나요?
A: 저는 주로 모동 숲을 많이 해요. 가끔 다른 게임들도 구경하거나 포켓몬을 즐기기도 하죠.
B: 아하, 그럼 스위치를 처음 사게 된 계기가 무엇이었나요?
A: 그건 역시 모동 숲 때문이었어요. 근데 요즘에는 잘 안 하고 있어서 팔까 고민 중이에요.",B: 스위치를 사는 게 이렇게 간단한 결정일 줄 몰랐네요.,Sarcasm,"스위치를 사게 된 이유가 모동 숲이었지만, 요즘에는 잘 안 하고 있다는 B의 말에 실제로는 부정적인 상황인데, 이 상황을 긍정적인 방향으로 비꼬아 말한다."
8,"B: 최근에 결혼을 생각해 보시나요?
A: 네, 사실 그렇습니다. 하지만 현실이 그리 달콤하지만은 않아요.
B: 어떤 부분이 가장 어렵게 느껴지시나요?
A: 뭐니 뭐니 해도 경제적인 부분이 제일 어렵습니다. 생각보다 결혼비용이 많이 드네요.","B: 아, 그래서 결혼은 투자의 일환인가 보군요.",Sarcasm,경제적인 부분에서 어려움을 겪고 있는 B의 상황을 긍정적인 방향으로 비꼬아 말한다.
9,"A: 와 오늘 비 완전 많이 오네. 시원해진 것 같아?
B: 응. 더워서 힘들었는데 시원해서 좋다.
A: 가을 옷도 사야겠다. 너는 이미 쇼핑 다 했어?
B: 아니 나는 아직인데, 너무 일찍 사서 어디에다 두지?
A: 그래도 겨울 준비는 해야지.","B: 응, 이제 겨울 준비를 시작해야겠네. 바로 눈사람 만들러 갈까?",Sarcasm,"A가 겨울 준비를 해야 한다는 말에 대해 B는 실제로는 계절이 아직 가을인데 너무 이른 것 같다는 생각을 하고 있지만, 그것을 긍정적인 것처럼 비꼬아 말한다."
